Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
AML-F-18_S17_L001_R1_001	AML-F-18_S17_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	148915.0	0.0	151.0	54.0	76.98249714460417	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
AML-F-18_S17_L001_R2_001	AML-F-18_S17_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	148915.0	0.0	151.0	53.0	9.620253164556962	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
AML-F-20_S18_L001_R1_001	AML-F-20_S18_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64416.0	0.0	151.0	53.0	91.91194734227521	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
AML-F-20_S18_L001_R2_001	AML-F-20_S18_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64416.0	0.0	151.0	53.0	14.533656234475906	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
AML-F-22_S19_L001_R1_001	AML-F-22_S19_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	124488.0	0.0	151.0	50.0	64.27045177045177	151.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	fail
AML-F-22_S19_L001_R2_001	AML-F-22_S19_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	124488.0	0.0	151.0	50.0	14.235106998264893	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
AML-F-24_S20_L001_R1_001	AML-F-24_S20_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	227507.0	0.0	151.0	51.0	55.01515272926056	151.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	fail
AML-F-24_S20_L001_R2_001	AML-F-24_S20_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	227507.0	0.0	151.0	50.0	11.93238010259025	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	fail	fail
AML-F-25_S21_L001_R1_001	AML-F-25_S21_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84914.0	0.0	151.0	51.0	73.31064371010669	151.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
AML-F-25_S21_L001_R2_001	AML-F-25_S21_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84914.0	0.0	151.0	50.0	14.4310714369833	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	fail	fail
AML-F-26_S22_L001_R1_001	AML-F-26_S22_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	203825.0	0.0	151.0	53.0	51.54128290927572	151.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	fail
AML-F-26_S22_L001_R2_001	AML-F-26_S22_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	203825.0	0.0	151.0	52.0	11.183613393842757	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	fail	fail
AML-F-27_S23_L001_R1_001	AML-F-27_S23_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57797.0	0.0	151.0	52.0	78.49196325068776	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
AML-F-27_S23_L001_R2_001	AML-F-27_S23_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57797.0	0.0	151.0	51.0	16.01813242901881	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
AML-F-28_S24_L001_R1_001	AML-F-28_S24_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	177706.0	0.0	151.0	51.0	61.95258265312393	151.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	fail
