Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
AML-F-18_S17_L001_R1_001	23.017502855395833	54.0	151.0	18.181818181818183	148915.0
AML-F-18_S17_L001_R2_001	90.37974683544304	53.0	151.0	45.45454545454545	148915.0
AML-F-20_S18_L001_R1_001	8.088052657724788	53.0	151.0	18.181818181818183	64416.0
AML-F-20_S18_L001_R2_001	85.4663437655241	53.0	151.0	45.45454545454545	64416.0
AML-F-22_S19_L001_R1_001	35.72954822954823	50.0	151.0	18.181818181818183	124488.0
AML-F-22_S19_L001_R2_001	85.7648930017351	50.0	151.0	18.181818181818183	124488.0
AML-F-24_S20_L001_R1_001	44.98484727073944	51.0	151.0	18.181818181818183	227507.0
AML-F-24_S20_L001_R2_001	88.06761989740976	50.0	151.0	27.27272727272727	227507.0
AML-F-25_S21_L001_R1_001	26.68935628989331	51.0	151.0	18.181818181818183	84914.0
AML-F-25_S21_L001_R2_001	85.5689285630167	50.0	151.0	27.27272727272727	84914.0
AML-F-26_S22_L001_R1_001	48.45871709072428	53.0	151.0	18.181818181818183	203825.0
AML-F-26_S22_L001_R2_001	88.81638660615724	52.0	151.0	27.27272727272727	203825.0
AML-F-27_S23_L001_R1_001	21.50803674931224	52.0	151.0	18.181818181818183	57797.0
AML-F-27_S23_L001_R2_001	83.9818675709812	51.0	151.0	36.36363636363637	57797.0
AML-F-28_S24_L001_R1_001	38.04741734687607	51.0	151.0	18.181818181818183	177706.0
AML-F-28_S24_L001_R2_001	88.10394696858857	50.0	151.0	27.27272727272727	177706.0
AML-F-29_S25_L001_R1_001	33.03206265134398	50.0	151.0	18.181818181818183	123477.0
AML-F-29_S25_L001_R2_001	87.06155802295164	50.0	151.0	27.27272727272727	123477.0
AML-F-30_S26_L001_R1_001	40.48615168867594	50.0	151.0	18.181818181818183	42785.0
AML-F-30_S26_L001_R2_001	85.28689961435083	50.0	151.0	18.181818181818183	42785.0
AML-F-31_S27_L001_R1_001	24.431764016941543	52.0	151.0	18.181818181818183	73429.0
AML-F-31_S27_L001_R2_001	85.68821582753408	51.0	151.0	45.45454545454545	73429.0
AML-F-32_S28_L001_R1_001	5.676886960233347	52.0	151.0	18.181818181818183	14057.0
AML-F-32_S28_L001_R2_001	78.999786583197	51.0	151.0	45.45454545454545	14057.0
AML-F-33_S29_L001_R1_001	8.335337570864112	53.0	151.0	18.181818181818183	29105.0
AML-F-33_S29_L001_R2_001	83.0097921319361	53.0	151.0	45.45454545454545	29105.0
AML-F-34_S30_L001_R1_001	21.42857142857143	53.0	151.0	45.45454545454545	56.0
AML-F-34_S30_L001_R2_001	39.28571428571429	53.0	151.0	45.45454545454545	56.0
AML-F-35_S31_L001_R1_001	5.216078716386207	54.0	151.0	18.181818181818183	17887.0
AML-F-35_S31_L001_R2_001	79.370492536479	53.0	151.0	45.45454545454545	17887.0
AML-F-36_S32_L001_R1_001	10.144204381018909	53.0	151.0	18.181818181818183	60123.0
AML-F-36_S32_L001_R2_001	84.11755900404171	52.0	151.0	45.45454545454545	60123.0
AML-F-37_S33_L001_R1_001	9.176831731157606	53.0	151.0	18.181818181818183	12379.0
AML-F-37_S33_L001_R2_001	80.94353340334438	52.0	151.0	45.45454545454545	12379.0
AML-F-38_S34_L001_R1_001	4.554455445544562	53.0	151.0	27.27272727272727	8585.0
AML-F-38_S34_L001_R2_001	76.63366336633663	52.0	151.0	45.45454545454545	8585.0
AML-F-39_S35_L001_R1_001	8.29000484417891	52.0	151.0	18.181818181818183	30965.0
AML-F-39_S35_L001_R2_001	81.33053447440659	52.0	151.0	45.45454545454545	30965.0
AML-F-40_S36_L001_R1_001	5.7839144820565025	53.0	151.0	18.181818181818183	15716.0
AML-F-40_S36_L001_R2_001	81.15296513107661	53.0	151.0	45.45454545454545	15716.0
AML-F-41_S37_L001_R1_001	14.665154122985442	52.0	151.0	27.27272727272727	25564.0
AML-F-41_S37_L001_R2_001	83.11297136598341	52.0	151.0	45.45454545454545	25564.0
AML-F-42_S38_L001_R1_001	5.3775437343805805	53.0	151.0	18.181818181818183	22408.0
AML-F-42_S38_L001_R2_001	82.17600856836845	52.0	151.0	45.45454545454545	22408.0
AML-F-43_S39_L001_R1_001	5.223849632795321	53.0	151.0	18.181818181818183	24101.0
AML-F-43_S39_L001_R2_001	83.6770258495498	52.0	151.0	45.45454545454545	24101.0
AML-F-44_S40_L001_R1_001	3.9658226030347947	54.0	151.0	18.181818181818183	41782.0
AML-F-44_S40_L001_R2_001	83.98832032932842	54.0	151.0	45.45454545454545	41782.0
AML-F-45_S41_L001_R1_001	4.663908996897632	53.0	151.0	18.181818181818183	9670.0
AML-F-45_S41_L001_R2_001	79.81385729058945	52.0	151.0	45.45454545454545	9670.0
AML-F-46_S42_L001_R1_001	7.856289015805544	52.0	151.0	18.181818181818183	60232.0
AML-F-46_S42_L001_R2_001	83.70633550272281	52.0	151.0	45.45454545454545	60232.0
AML-F-47_S43_L001_R1_001	13.833262487292089	52.0	151.0	18.181818181818183	145678.0
AML-F-47_S43_L001_R2_001	85.14943917406883	52.0	151.0	45.45454545454545	145678.0
AML-F-48_S44_L001_R1_001	6.464327946393382	52.0	151.0	18.181818181818183	15222.0
AML-F-48_S44_L001_R2_001	80.46905794245171	52.0	151.0	45.45454545454545	15222.0
