Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
AC-1B1_S47_L001_R1_001	54.04226452535563	55.0	151.0	27.27272727272727	4138729.0
AC-1B1_S47_L001_R2_001	90.90527789156198	55.0	151.0	36.36363636363637	4138729.0
AD-1S1_S48_L001_R1_001	65.0694948124366	54.0	151.0	27.27272727272727	6953049.0
AL-1B1_S52_L001_R1_001	56.09814213844299	57.0	151.0	27.27272727272727	2656994.0
AL-1B1_S52_L001_R2_001	90.93111027559789	58.0	151.0	36.36363636363637	2656994.0
AM-1B1_S49_L001_R1_001	47.91047881774364	53.0	151.0	18.181818181818183	2984621.0
AM-1B1_S49_L001_R2_001	90.17196035830548	54.0	151.0	36.36363636363637	2984621.0
AM-1N1_S50_L001_R1_001	56.04450649700611	56.0	151.0	27.27272727272727	3798948.0
AM-1N1_S50_L001_R2_001	90.44942193686519	56.0	151.0	36.36363636363637	3798948.0
Semi-Blood_S45_L001_R1_001	64.32351378863218	52.0	151.0	27.27272727272727	3384711.0
Semi-Blood_S45_L001_R2_001	90.47169752484632	52.0	151.0	18.181818181818183	3384711.0
Semi-Saliva_S46_L001_R1_001	43.21112594498617	55.0	151.0	18.181818181818183	2172202.0
Semi-Saliva_S46_L001_R2_001	89.29617695972358	55.0	151.0	36.36363636363637	2172202.0
