Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CNSTP53-10_S10_L001_R1_001	CNSTP53-10_S10_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89395.0	0.0	151.0	52.0	68.4121035852117	151.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	fail
CNSTP53-10_S10_L001_R2_001	CNSTP53-10_S10_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89395.0	0.0	151.0	52.0	12.072263549415515	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
CNSTP53-11_S11_L001_R1_001	CNSTP53-11_S11_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18377.0	0.0	151.0	53.0	81.02519453664907	151.0	pass	pass	warn	pass	fail	warn	pass	pass	pass	warn	fail
CNSTP53-11_S11_L001_R2_001	CNSTP53-11_S11_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18377.0	0.0	151.0	52.0	16.455351798443708	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
CNSTP53-2_S2_L001_R1_001	CNSTP53-2_S2_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	172407.0	0.0	151.0	52.0	61.03830808981117	151.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	fail
CNSTP53-2_S2_L001_R2_001	CNSTP53-2_S2_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	172407.0	0.0	151.0	52.0	7.676602458136851	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
CNSTP53-3_S3_L001_R1_001	CNSTP53-3_S3_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	280812.0	0.0	151.0	53.0	58.127161696363004	151.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	fail
CNSTP53-3_S3_L001_R2_001	CNSTP53-3_S3_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	280812.0	0.0	151.0	52.0	7.751093258122872	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
CNSTP53-4_S4_L001_R1_001	CNSTP53-4_S4_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	144465.0	0.0	151.0	53.0	65.73079984771398	151.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	fail
CNSTP53-4_S4_L001_R2_001	CNSTP53-4_S4_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	144465.0	0.0	151.0	52.0	7.685598587893261	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
CNSTP53-5_S5_L001_R1_001	CNSTP53-5_S5_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31173.0	0.0	151.0	53.0	58.861835562826805	151.0	pass	pass	warn	pass	fail	warn	pass	pass	warn	pass	fail
