Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
CNSTP53-10_S10_L001_R1_001	31.587896414788304	52.0	151.0	18.181818181818183	89395.0
CNSTP53-10_S10_L001_R2_001	87.92773645058449	52.0	151.0	45.45454545454545	89395.0
CNSTP53-11_S11_L001_R1_001	18.974805463350933	53.0	151.0	18.181818181818183	18377.0
CNSTP53-11_S11_L001_R2_001	83.5446482015563	52.0	151.0	45.45454545454545	18377.0
CNSTP53-2_S2_L001_R1_001	38.96169191018883	52.0	151.0	18.181818181818183	172407.0
CNSTP53-2_S2_L001_R2_001	92.32339754186314	52.0	151.0	45.45454545454545	172407.0
CNSTP53-3_S3_L001_R1_001	41.872838303636996	53.0	151.0	18.181818181818183	280812.0
CNSTP53-3_S3_L001_R2_001	92.24890674187712	52.0	151.0	45.45454545454545	280812.0
CNSTP53-4_S4_L001_R1_001	34.26920015228602	53.0	151.0	18.181818181818183	144465.0
CNSTP53-4_S4_L001_R2_001	92.31440141210673	52.0	151.0	45.45454545454545	144465.0
CNSTP53-5_S5_L001_R1_001	41.138164437173195	53.0	151.0	18.181818181818183	31173.0
CNSTP53-5_S5_L001_R2_001	88.89423539601579	52.0	151.0	45.45454545454545	31173.0
CNSTP53-6_S6_L001_R1_001	38.737634912340766	52.0	151.0	18.181818181818183	110998.0
CNSTP53-6_S6_L001_R2_001	90.83767275086038	52.0	151.0	45.45454545454545	110998.0
CNSTP53-7_S7_L001_R1_001	46.869525833502365	52.0	151.0	18.181818181818183	259988.0
CNSTP53-7_S7_L001_R2_001	92.24925765804576	52.0	151.0	45.45454545454545	259988.0
CNSTP53-8_S8_L001_R1_001	31.407552910817103	53.0	151.0	18.181818181818183	51927.0
CNSTP53-8_S8_L001_R2_001	88.1429699385676	52.0	151.0	45.45454545454545	51927.0
CNSTP53-9_S9_L001_R1_001	52.04460966542751	53.0	151.0	45.45454545454545	50572.0
CNSTP53-9_S9_L001_R2_001	88.76453373408211	53.0	151.0	45.45454545454545	50572.0
TP53-Normal-AF11_S12_L001_R1_001	51.23897040093591	53.0	151.0	27.27272727272727	245826.0
TP53-Normal-AF11_S12_L001_R2_001	93.27044332169909	52.0	151.0	45.45454545454545	245826.0
TP53-Normal-AF12_S13_L001_R1_001	43.002178575075746	53.0	151.0	18.181818181818183	117508.0
TP53-Normal-AF12_S13_L001_R2_001	91.92820914320727	52.0	151.0	45.45454545454545	117508.0
TP53-Normal-AF14_S14_L001_R1_001	27.855324576220056	52.0	151.0	18.181818181818183	145079.0
TP53-Normal-AF14_S14_L001_R2_001	90.59477939605318	52.0	151.0	45.45454545454545	145079.0
TP53-Normal-AF17_S15_L001_R1_001	33.68683107643295	52.0	151.0	18.181818181818183	433700.0
TP53-Normal-AF17_S15_L001_R2_001	92.73737606640535	52.0	151.0	45.45454545454545	433700.0
TP53-Normal-AF20_S16_L001_R1_001	28.27316537288789	53.0	151.0	18.181818181818183	673407.0
TP53-Normal-AF20_S16_L001_R2_001	92.0446327406754	52.0	151.0	45.45454545454545	673407.0
