Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
AC-1B1_S52_L001_R1_001	20.594515209144802	55.0	151.0	18.181818181818183	2618698.0
AC-1B1_S52_L001_R2_001	90.26842631093116	56.0	151.0	36.36363636363637	2618698.0
AC-1S1_S53_L001_R2_001	93.30513953471846	55.0	151.0	36.36363636363637	4779299.0
AD-1S1_S54_L001_R1_001	21.950425030946505	54.0	151.0	18.181818181818183	2684145.0
AD-1S1_S54_L001_R2_001	90.66378171140832	54.0	151.0	36.36363636363637	2684145.0
AL-1B1_S60_L001_R1_001	25.72768896189963	57.0	151.0	18.181818181818183	1137752.0
AL-1B1_S60_L001_R2_001	89.86216274961842	58.0	151.0	36.36363636363637	1137752.0
AM-1B1_S55_L001_R1_001	20.476075635547375	53.0	151.0	18.181818181818183	2351256.0
AM-1B1_S55_L001_R2_001	90.36741031196159	54.0	151.0	36.36363636363637	2351256.0
AM-1N1_S57_L001_R1_001	23.65072427199499	56.0	151.0	18.181818181818183	1918142.0
AM-1N1_S57_L001_R2_001	89.37606009019242	56.0	151.0	36.36363636363637	1918142.0
AM-1S1_S56_L001_R1_001	26.345352951231234	55.0	151.0	18.181818181818183	3953871.0
AN-2B1_S58_L001_R1_001	25.197147723501274	55.0	151.0	18.181818181818183	4142184.0
AN-2B1_S58_L001_R2_001	91.93352308113055	55.0	151.0	36.36363636363637	4142184.0
AN-2S1_S59_L001_R1_001	22.32209622959533	54.0	151.0	18.181818181818183	1288937.0
AN-2S1_S59_L001_R2_001	89.86859535709539	54.0	151.0	36.36363636363637	1288937.0
Semi-Blood_S49_L001_R1_001	22.85529533815817	52.0	151.0	18.181818181818183	1128016.0
Semi-Blood_S49_L001_R2_001	88.72718705288636	52.0	151.0	18.181818181818183	1128016.0
Semi-Nail_S51_L001_R1_001	24.72908524854202	53.0	151.0	18.181818181818183	4099277.0
Semi-Saliva_S50_L001_R1_001	20.332064558546108	55.0	151.0	18.181818181818183	2576833.0
Semi-Saliva_S50_L001_R2_001	90.23561366190786	55.0	151.0	36.36363636363637	2576833.0
