Module	Section	Sample Name	Source
FastQC	all_sections	AC-1B1_S52_L001_R1_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/AC-1B1_S52_L001_R1_001_fastqc.zip
FastQC	all_sections	AC-1B1_S52_L001_R2_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/AC-1B1_S52_L001_R2_001_fastqc.zip
FastQC	all_sections	AC-1S1_S53_L001_R2_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/AC-1S1_S53_L001_R2_001_fastqc.zip
FastQC	all_sections	AD-1S1_S54_L001_R1_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/AD-1S1_S54_L001_R1_001_fastqc.zip
FastQC	all_sections	AD-1S1_S54_L001_R2_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/AD-1S1_S54_L001_R2_001_fastqc.zip
FastQC	all_sections	AL-1B1_S60_L001_R1_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/AL-1B1_S60_L001_R1_001_fastqc.zip
FastQC	all_sections	AL-1B1_S60_L001_R2_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/AL-1B1_S60_L001_R2_001_fastqc.zip
FastQC	all_sections	AM-1B1_S55_L001_R1_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/AM-1B1_S55_L001_R1_001_fastqc.zip
FastQC	all_sections	AM-1B1_S55_L001_R2_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/AM-1B1_S55_L001_R2_001_fastqc.zip
FastQC	all_sections	AM-1N1_S57_L001_R1_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/AM-1N1_S57_L001_R1_001_fastqc.zip
FastQC	all_sections	AM-1N1_S57_L001_R2_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/AM-1N1_S57_L001_R2_001_fastqc.zip
FastQC	all_sections	AM-1S1_S56_L001_R1_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/AM-1S1_S56_L001_R1_001_fastqc.zip
FastQC	all_sections	AN-2B1_S58_L001_R1_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/AN-2B1_S58_L001_R1_001_fastqc.zip
FastQC	all_sections	AN-2B1_S58_L001_R2_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/AN-2B1_S58_L001_R2_001_fastqc.zip
FastQC	all_sections	AN-2S1_S59_L001_R1_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/AN-2S1_S59_L001_R1_001_fastqc.zip
FastQC	all_sections	AN-2S1_S59_L001_R2_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/AN-2S1_S59_L001_R2_001_fastqc.zip
FastQC	all_sections	Semi-Blood_S49_L001_R1_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/Semi-Blood_S49_L001_R1_001_fastqc.zip
FastQC	all_sections	Semi-Blood_S49_L001_R2_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/Semi-Blood_S49_L001_R2_001_fastqc.zip
FastQC	all_sections	Semi-Nail_S51_L001_R1_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/Semi-Nail_S51_L001_R1_001_fastqc.zip
FastQC	all_sections	Semi-Saliva_S50_L001_R1_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/Semi-Saliva_S50_L001_R1_001_fastqc.zip
FastQC	all_sections	Semi-Saliva_S50_L001_R2_001	/mnt/d/FastqNextSeq5-2020/Angela_merged/Semi-Saliva_S50_L001_R2_001_fastqc.zip
