Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
AML-F-17_S17_L001_R1_001	AML-F-17_S17_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	367651.0	0.0	151.0	54.0	94.68687977094667	151.0	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	fail
AML-F-17_S17_L001_R2_001	AML-F-17_S17_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	367651.0	0.0	151.0	54.0	8.60027580504337	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
AML-F-18_S18_L001_R1_001	AML-F-18_S18_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44935.0	0.0	151.0	54.0	92.83186825414488	151.0	pass	warn	warn	pass	fail	warn	pass	pass	pass	pass	fail
AML-F-18_S18_L001_R2_001	AML-F-18_S18_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44935.0	0.0	151.0	53.0	12.560364971625681	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
AML-F-19_S19_L001_R1_001	AML-F-19_S19_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11084.0	0.0	151.0	54.0	97.13099963911945	151.0	pass	pass	fail	pass	fail	fail	pass	pass	pass	warn	fail
AML-F-19_S19_L001_R2_001	AML-F-19_S19_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11084.0	0.0	151.0	53.0	19.52363767592927	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
AML-F-20_S20_L001_R1_001	AML-F-20_S20_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15359.0	0.0	151.0	53.0	99.01035223647374	151.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	fail
AML-F-20_S20_L001_R2_001	AML-F-20_S20_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15359.0	0.0	151.0	53.0	18.66657985545934	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
AML-F-21_S21_L001_R1_001	AML-F-21_S21_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	224864.0	0.0	151.0	55.0	89.27163092125932	151.0	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	fail
AML-F-21_S21_L001_R2_001	AML-F-21_S21_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	224864.0	0.0	151.0	55.0	16.041696314216594	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	fail	fail
AML-F-22_S22_L001_R1_001	AML-F-22_S22_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33826.0	0.0	151.0	50.0	94.34754330987998	151.0	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	fail
AML-F-22_S22_L001_R2_001	AML-F-22_S22_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33826.0	0.0	151.0	50.0	16.73860344113995	151.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	warn	fail
