Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
AML-F-17_S17_L001_R1_001	5.313120229053325	54.0	151.0	18.181818181818183	367651.0
AML-F-17_S17_L001_R2_001	91.39972419495663	54.0	151.0	45.45454545454545	367651.0
AML-F-18_S18_L001_R1_001	7.168131745855121	54.0	151.0	18.181818181818183	44935.0
AML-F-18_S18_L001_R2_001	87.43963502837431	53.0	151.0	45.45454545454545	44935.0
AML-F-19_S19_L001_R1_001	2.8690003608805483	54.0	151.0	36.36363636363637	11084.0
AML-F-19_S19_L001_R2_001	80.47636232407073	53.0	151.0	45.45454545454545	11084.0
AML-F-20_S20_L001_R1_001	0.9896477635262642	53.0	151.0	27.27272727272727	15359.0
AML-F-20_S20_L001_R2_001	81.33342014454067	53.0	151.0	45.45454545454545	15359.0
AML-F-21_S21_L001_R1_001	10.728369078740684	55.0	151.0	18.181818181818183	224864.0
AML-F-21_S21_L001_R2_001	83.9583036857834	55.0	151.0	27.27272727272727	224864.0
AML-F-22_S22_L001_R1_001	5.652456690120019	50.0	151.0	18.181818181818183	33826.0
AML-F-22_S22_L001_R2_001	83.26139655886004	50.0	151.0	27.27272727272727	33826.0
AML-F-23_S23_L001_R1_001	8.522610455238976	51.0	151.0	27.27272727272727	92413.0
AML-F-23_S23_L001_R2_001	86.00629781524245	51.0	151.0	27.27272727272727	92413.0
AML-F-24_S24_L001_R1_001	8.229841135052894	50.0	151.0	27.27272727272727	56526.0
AML-F-24_S24_L001_R2_001	84.17542369882887	50.0	151.0	27.27272727272727	56526.0
AML-F-25_S25_L001_R1_001	4.998697407841604	51.0	151.0	27.27272727272727	30708.0
AML-F-25_S25_L001_R2_001	83.3431027745213	51.0	151.0	36.36363636363637	30708.0
AML-F-26_S26_L001_R1_001	10.119199795474884	53.0	151.0	18.181818181818183	62584.0
AML-F-26_S26_L001_R2_001	85.64329541096765	53.0	151.0	36.36363636363637	62584.0
AML-F-27_S27_L001_R1_001	6.747187738089906	52.0	151.0	18.181818181818183	44626.0
AML-F-27_S27_L001_R2_001	84.00259938152647	51.0	151.0	36.36363636363637	44626.0
