Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CNSTP53-10_S10_L001_R1_001	CNSTP53-10_S10_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77147.0	0.0	151.0	52.0	85.16209314684951	151.0	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	fail
CNSTP53-10_S10_L001_R2_001	CNSTP53-10_S10_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77147.0	0.0	151.0	52.0	11.861770386405174	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
CNSTP53-11_S11_L001_R1_001	CNSTP53-11_S11_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9701.0	0.0	151.0	52.0	94.0624677868261	151.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	warn	fail
CNSTP53-11_S11_L001_R2_001	CNSTP53-11_S11_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9701.0	0.0	151.0	52.0	16.606535408720752	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
CNSTP53-1_S1_L001_R1_001	CNSTP53-1_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3699642.0	0.0	151.0	53.0	34.79804084220676	151.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	fail
CNSTP53-1_S1_L001_R2_001	CNSTP53-1_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3699642.0	0.0	151.0	53.0	3.642867906380081	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
CNSTP53-2_S2_L001_R1_001	CNSTP53-2_S2_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46654.0	0.0	151.0	52.0	92.64586101941956	151.0	pass	pass	warn	pass	fail	warn	pass	pass	pass	warn	fail
CNSTP53-2_S2_L001_R2_001	CNSTP53-2_S2_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46654.0	0.0	151.0	52.0	10.509281090581728	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
CNSTP53-3_S3_L001_R1_001	CNSTP53-3_S3_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	197595.0	0.0	151.0	53.0	70.5216766769549	151.0	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	fail
CNSTP53-3_S3_L001_R2_001	CNSTP53-3_S3_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	197595.0	0.0	151.0	53.0	7.851413244262254	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
CNSTP53-4_S4_L001_R1_001	CNSTP53-4_S4_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40872.0	0.0	151.0	53.0	94.04237619886476	151.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	fail
CNSTP53-4_S4_L001_R2_001	CNSTP53-4_S4_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40872.0	0.0	151.0	52.0	10.3126834997064	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
CNSTP53-5_S5_L001_R1_001	CNSTP53-5_S5_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9619.0	0.0	151.0	53.0	90.90342031396194	151.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	fail
CNSTP53-5_S5_L001_R2_001	CNSTP53-5_S5_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9619.0	0.0	151.0	52.0	14.9183906851024	151.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
CNSTP53-6_S6_L001_R1_001	CNSTP53-6_S6_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30527.0	0.0	151.0	52.0	93.00291545189503	151.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	fail
