Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
CNSTP53-10_S10_L001_R1_001	14.837906853150486	52.0	151.0	18.181818181818183	77147.0
CNSTP53-10_S10_L001_R2_001	88.13822961359483	52.0	151.0	45.45454545454545	77147.0
CNSTP53-11_S11_L001_R1_001	5.9375322131738955	52.0	151.0	27.27272727272727	9701.0
CNSTP53-11_S11_L001_R2_001	83.39346459127924	52.0	151.0	45.45454545454545	9701.0
CNSTP53-1_S1_L001_R1_001	65.20195915779324	53.0	151.0	27.27272727272727	3699642.0
CNSTP53-1_S1_L001_R2_001	96.35713209361992	53.0	151.0	45.45454545454545	3699642.0
CNSTP53-2_S2_L001_R1_001	7.354138980580444	52.0	151.0	18.181818181818183	46654.0
CNSTP53-2_S2_L001_R2_001	89.49071890941828	52.0	151.0	45.45454545454545	46654.0
CNSTP53-3_S3_L001_R1_001	29.478323323045103	53.0	151.0	18.181818181818183	197595.0
CNSTP53-3_S3_L001_R2_001	92.14858675573774	53.0	151.0	45.45454545454545	197595.0
CNSTP53-4_S4_L001_R1_001	5.957623801135242	53.0	151.0	27.27272727272727	40872.0
CNSTP53-4_S4_L001_R2_001	89.6873165002936	52.0	151.0	45.45454545454545	40872.0
CNSTP53-5_S5_L001_R1_001	9.096579686038055	53.0	151.0	27.27272727272727	9619.0
CNSTP53-5_S5_L001_R2_001	85.0816093148976	52.0	151.0	54.54545454545454	9619.0
CNSTP53-6_S6_L001_R1_001	6.997084548104965	52.0	151.0	27.27272727272727	30527.0
CNSTP53-6_S6_L001_R2_001	88.026992498444	52.0	151.0	45.45454545454545	30527.0
CNSTP53-7_S7_L001_R1_001	25.806235892225985	52.0	151.0	18.181818181818183	166680.0
CNSTP53-7_S7_L001_R2_001	91.80345572354211	52.0	151.0	45.45454545454545	166680.0
CNSTP53-8_S8_L001_R1_001	7.02809050169418	53.0	151.0	18.181818181818183	18298.0
CNSTP53-8_S8_L001_R2_001	86.01486501256969	52.0	151.0	54.54545454545454	18298.0
CNSTP53-9_S9_L001_R1_001	43.44004295900443	53.0	151.0	18.181818181818183	207840.0
CNSTP53-9_S9_L001_R2_001	91.9789260969977	53.0	151.0	45.45454545454545	207840.0
TP53-Normal-AF11_S12_L001_R1_001	16.80963800818789	53.0	151.0	18.181818181818183	123480.0
TP53-Normal-AF11_S12_L001_R2_001	92.34774862325882	52.0	151.0	45.45454545454545	123480.0
TP53-Normal-AF12_S13_L001_R1_001	9.682169075114118	53.0	151.0	18.181818181818183	47541.0
TP53-Normal-AF12_S13_L001_R2_001	89.61317599545656	52.0	151.0	45.45454545454545	47541.0
TP53-Normal-AF14_S14_L001_R1_001	3.700508671208027	52.0	151.0	18.181818181818183	33617.0
TP53-Normal-AF14_S14_L001_R2_001	87.8930303120445	52.0	151.0	45.45454545454545	33617.0
TP53-Normal-AF17_S15_L001_R1_001	10.516846441938327	52.0	151.0	18.181818181818183	160891.0
TP53-Normal-AF17_S15_L001_R2_001	91.71115848618008	52.0	151.0	45.45454545454545	160891.0
TP53-Normal-AF20_S16_L001_R1_001	5.618712971538173	53.0	151.0	18.181818181818183	223250.0
TP53-Normal-AF20_S16_L001_R2_001	91.09876819708846	52.0	151.0	45.45454545454545	223250.0
